Disease	Disease_id	RELATION	PROVENANCE	Drug	Drug_id
Hypertensive disease	C0020538	IS_TREATED	["35292147_fullText_1"]	clopidogrel	C0070166
Transient Ischemic Attack	C0007787	IS_TREATED	["34039032_fullText_5"]	clopidogrel	C0070166
Cerebrovascular accident	C0038454	IS_TREATED	["34039032_fullText_5"]	clopidogrel	C0070166
Acute Coronary Syndrome	C0948089	IS_TREATED	["37757520_fullText_2","35860883_fullText_1"]	clopidogrel	C0070166
Coronary Arteriosclerosis	C0010054	IS_TREATED	["35994706_fullText_5"]	clopidogrel	C0070166
Acute Coronary Syndrome	C0948089	IS_TREATED	["36690313_fullText_1"]	clopidogrel	C0070166
Myocardial Infarction	C0027051	IS_TREATED	["33712510_fullText_1"]	prasugrel	C1620287
post mi	C0856742	IS_TREATED	["33758122_fullText_6"]	prasugrel	C1620287
Acute Coronary Syndrome	C0948089	IS_TREATED	["37751668_fullText_1"]	prasugrel	C1620287
Alzheimer's Disease	C0002395	IS_TREATED	["36035218_fullText_1"]	Tacrine	C0039245
Epilepsy	C0014544	IS_TREATED	["31957011_fullText_57"]	topiramate	C0076829
Chronic Insomnia	C0751249	IS_TREATED	["35102822_fullText_4"]	Trazodone	C0040805
Cerebrovascular accident	C0038454	IS_TREATED	["34597681_fullText_2"]	GABA-A Receptor Antagonists	C2936801
Dystrophia myotonica 1	C2931688	IS_TREATED	["22154451_fullText_1"]	Sugammadex	C1700695
Observation of Neuromuscular Block	C0700323	IS_TREATED	["35016451_fullText_1","27631259_fullText_45"]	Sugammadex	C1700695
Myasthenic Syndromes, Congenital	C0751882	IS_TREATED	["33760762_fullText_3"]	Sugammadex	C1700695
Observation of Neuromuscular Block	C0700323	IS_TREATED	["36229945_fullText_2"]	Neostigmine	C0027679
Hyalinosis, Systemic	C2745948	IS_TREATED	["34514552_fullText_10"]	Norepinephrine Reuptake Inhibitor [EPC]	C3537046
Asthma	C0004096	IS_TREATED	["37641216_fullText_3"]	Norepinephrine Reuptake Inhibitor [EPC]	C3537046
Porokeratosis, Palmoplantar	C0162838	IS_TREATED	["36906836_fullText_15"]	Norepinephrine Reuptake Inhibitor [EPC]	C3537046
Urinary Stress Incontinence	C0042025	IS_TREATED	["37386151_fullText_6"]	Norepinephrine Reuptake Inhibitor [EPC]	C3537046
Migraine Disorders	C0149931	IS_TREATED	["33797074_fullText_1","33797074_fullText_2","33797074_fullText_9"]	Chlorpromazine	C0008286
Phenylketonurias	C0031485	IS_TREATED	["30706953_fullText_6"]	5-Hydroxytryptophan	C0000578
Epilepsy	C0014544	IS_TREATED	["32980745_fullText_4"]	5-Hydroxytryptophan	C0000578
Hyperphenylalaninaemia	C0751435	IS_TREATED	["19664307_fullText_8"]	5-Hydroxytryptophan	C0000578
Hyperphenylalaninaemia	C0751435	IS_TREATED	["19664307_fullText_9"]	5-Hydroxytryptophan	C0000578
Diamond-Blackfan Anemia 1	C2676137	IS_TREATED	["33709985_fullText_7"]	5-Hydroxytryptophan	C0000578
Hyperphenylalaninemia, Non-Phenylketonuric	C0751436	IS_TREATED	["11916314_fullText_5"]	5-Hydroxytryptophan	C0000578
Neurodegenerative Disorders	C0524851	IS_TREATED	["34361702_fullText_3"]	Coumarins	C0010207
Myotonic Dystrophy	C0027126	IS_TREATED	["16855999_fullText_3","12519589_fullText_2"]	Psychostimulant	C0304403
Neurodegenerative Disorders	C0524851	IS_TREATED	["36608712_fullText_1"]	Alkaloids	C0002062
Erectile dysfunction	C0242350	IS_TREATED	["35970968_fullText_2","36263866_fullText_10"]	Central Nervous System Stimulants	C0002763
Inflammatory disorder	C1290884	IS_TREATED	["36263866_fullText_10"]	Central Nervous System Stimulants	C0002763
Chronic Obstructive Airway Disease	C0024117	IS_TREATED	["34450560_fullText_15"]	Adrenergic Agonists	C0001648
