Gene	Gene_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
Retinoic Acid Response Element	C1514917	CAUSES	["31211461_fullText_1"]	Mortality, Premature	C1855073
NDUFS4 gene	C1417647	CAUSES	["22653057_fullText_7"]	Mortality, Premature	C1855073
LAMA2 gene	C1416776	CAUSES	["28367954_fullText_1"]	Mortality, Premature	C1855073
CEL gene	C1413336	AUGMENTS	["25835550_fullText_4"]	Mortality, Premature	C1855073
ATXN3 gene	C1538301	DISRUPTS	["17626202_fullText_4"]	Mortality, Premature	C1855073
APP gene	C1364818	ASSOCIATED_WITH		Weight Gain	C0043094
LEP gene	C1416825	ASSOCIATED_WITH		Weight Gain	C0043094
GPR55 gene	C1415245	ASSOCIATED_WITH		Weight Gain	C0043094
ADIPOQ gene	C1540187	ASSOCIATED_WITH		Weight Gain	C0043094
CNR1 gene	C1413554	ASSOCIATED_WITH		Weight Gain	C0043094
MMP2 gene	C1334522	ASSOCIATED_WITH		Weight Gain	C0043094
LEPR gene	C1366515	ASSOCIATED_WITH		Weight Gain	C0043094
CYP2D6 gene	C1332830	ASSOCIATED_WITH		Weight Gain	C0043094
HTR2C gene	C1415811	ASSOCIATED_WITH		Weight Gain	C0043094
POMC gene	C1337111	ASSOCIATED_WITH		Weight Gain	C0043094
SRI gene	C1420401	ASSOCIATED_WITH		Weight Gain	C0043094
GDF15 gene	C1335222	ASSOCIATED_WITH		Weight Gain	C0043094
DRD2 gene	C1333253	ASSOCIATED_WITH		Weight Gain	C0043094
ACE gene	C1413931	ASSOCIATED_WITH		Weight Gain	C0043094
HCRT gene	C1415500	ASSOCIATED_WITH		Weight Gain	C0043094
GH1 gene	C1333673	ASSOCIATED_WITH		Weight Gain	C0043094
AKR1C2 gene	C1412325	ASSOCIATED_WITH		Weight Gain	C0043094
INSIG2 gene	C1426946	ASSOCIATED_WITH		Weight Gain	C0043094
ABCG1 gene	C1412096	ASSOCIATED_WITH		Weight Gain	C0043094
CD36 gene	C1366645	ASSOCIATED_WITH		Weight Gain	C0043094
ATP6V1E1 gene	C1412677	DISRUPTS	["37770252_fullText_90"]	Weight Gain	C0043094
CENPV gene	C1538722	DISRUPTS	["37770252_fullText_90"]	Weight Gain	C0043094
CD8A wt Allele	C3540595	DISRUPTS	["37770252_fullText_90"]	Weight Gain	C0043094
DEAF1 gene	C1422833	AFFECTS	["35245487_fullText_8"]	Abnormality	C1704258
ATXN3 gene	C1538301	CAUSES	["33477953_fullText_4"]	Decrease in height	C0424641
NDUFAF5 gene	C1423817	CAUSES	["34964562_fullText_11"]	Early death	C1836407
PMM2 gene	C1418674	DISRUPTS	["26940433_fullText_71"]	Early death	C1836407
NDUFA12 gene	C1826391	CAUSES	["34849584_fullText_313"]	Neurologic Symptoms	C0235031
Retinoic Acid Response Element	C1514917	CAUSES	["33650116_fullText_1"]	Genotype-Phenotype Associations	C2717879
DOK7 gene	C1824957	CAUSES	["31453852_fullText_3"]	Genotype-Phenotype Associations	C2717879
Alleles	C0002085	AFFECTS	["28257691_fullText_18","28257691_fullText_109"]	Genotype-Phenotype Associations	C2717879
Retinoic Acid Response Element	C1514917	PREDISPOSES	["34928236_fullText_63"]	Signs and Symptoms	C0037088
IARS2 gene	C1825559	ASSOCIATED_WITH	["25130867_fullText_7"]	Signs and Symptoms	C0037088
